"filename", "language", "Ruby", "Docker", "Markdown", "HTML", "XML", "YAML", "erb", "PostCSS", "JavaScript", "comment", "blank", "total"
"/home/rirds/spotsteam/app/views/dashboards/_top_artist_section.html.erb", "erb", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"/home/rirds/spotsteam/app/views/dashboards/_top_artists.html.erb", "erb", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"/home/rirds/spotsteam/app/views/dashboards/_top_song_section.html.erb", "erb", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"/home/rirds/spotsteam/app/views/dashboards/_top_songs.html.erb", "erb", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"/home/rirds/spotsteam/app/views/dashboards/_user_info_section.html.erb", "erb", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 51
"/home/rirds/spotsteam/app/views/dashboards/index.html.erb", "erb", 0, 0, 0, 0, 0, 0, 163, 0, 0, 0, 18, 181
"/home/rirds/spotsteam/app/views/games/show.html.erb", "erb", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 67
"/home/rirds/spotsteam/app/views/layouts/application.html.erb", "erb", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"/home/rirds/spotsteam/app/views/layouts/mailer.html.erb", "erb", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/home/rirds/spotsteam/app/views/layouts/mailer.text.erb", "erb", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"/home/rirds/spotsteam/app/views/pwa/manifest.json.erb", "erb", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"/home/rirds/spotsteam/app/views/pwa/service-worker.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 1, 27
"/home/rirds/spotsteam/app/views/sessions/new.html.erb", "erb", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 31
"/home/rirds/spotsteam/app/views/shared/_navbar.html.erb", "erb", 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 10, 75
